#           k/h    P           
    0.10000E-03    0.43212E+03
    0.10202E-03    0.44050E+03
    0.10408E-03    0.44903E+03
    0.10618E-03    0.45773E+03
    0.10833E-03    0.46660E+03
    0.11052E-03    0.47564E+03
    0.11275E-03    0.48485E+03
    0.11503E-03    0.49425E+03
    0.11735E-03    0.50382E+03
    0.11972E-03    0.51358E+03
    0.12214E-03    0.52353E+03
    0.12461E-03    0.53367E+03
    0.12712E-03    0.54401E+03
    0.12969E-03    0.55454E+03
    0.13231E-03    0.56529E+03
    0.13499E-03    0.57623E+03
    0.13771E-03    0.58739E+03
    0.14049E-03    0.59877E+03
    0.14333E-03    0.61037E+03
    0.14623E-03    0.62218E+03
    0.14918E-03    0.63423E+03
    0.15220E-03    0.64651E+03
    0.15527E-03    0.65903E+03
    0.15841E-03    0.67179E+03
    0.16161E-03    0.68480E+03
    0.16487E-03    0.69806E+03
    0.16820E-03    0.71157E+03
    0.17160E-03    0.72534E+03
    0.17507E-03    0.73938E+03
    0.17860E-03    0.75369E+03
    0.18221E-03    0.76828E+03
    0.18589E-03    0.78315E+03
    0.18965E-03    0.79830E+03
    0.19348E-03    0.81375E+03
    0.19739E-03    0.82949E+03
    0.20138E-03    0.84554E+03
    0.20544E-03    0.86190E+03
    0.20959E-03    0.87857E+03
    0.21383E-03    0.89557E+03
    0.21815E-03    0.91289E+03
    0.22255E-03    0.93054E+03
    0.22705E-03    0.94853E+03
    0.23164E-03    0.96687E+03
    0.23632E-03    0.98557E+03
    0.24109E-03    0.10046E+04
    0.24596E-03    0.10240E+04
    0.25093E-03    0.10438E+04
    0.25600E-03    0.10640E+04
    0.26117E-03    0.10846E+04
    0.26645E-03    0.11055E+04
    0.27183E-03    0.11269E+04
    0.27732E-03    0.11486E+04
    0.28292E-03    0.11708E+04
    0.28864E-03    0.11934E+04
    0.29447E-03    0.12165E+04
    0.30042E-03    0.12399E+04
    0.30649E-03    0.12639E+04
    0.31268E-03    0.12882E+04
    0.31899E-03    0.13131E+04
    0.32544E-03    0.13384E+04
    0.33201E-03    0.13642E+04
    0.33872E-03    0.13905E+04
    0.34556E-03    0.14173E+04
    0.35254E-03    0.14447E+04
    0.35966E-03    0.14725E+04
    0.36693E-03    0.15009E+04
