#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105234E-04   0.191065E+08   0.191065E+08   0.254614E+08   0.254614E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.568273E-02
   0.106292E-04   0.191065E+08   0.191065E+08   0.254611E+08   0.254611E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.573984E-02
   0.107360E-04   0.191065E+08   0.191065E+08   0.254608E+08   0.254608E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.579753E-02
   0.108439E-04   0.191065E+08   0.191065E+08   0.254605E+08   0.254605E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.585579E-02
   0.109529E-04   0.191065E+08   0.191065E+08   0.254602E+08   0.254602E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.591464E-02
   0.110630E-04   0.191065E+08   0.191065E+08   0.254599E+08   0.254599E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.597408E-02
   0.111742E-04   0.191065E+08   0.191065E+08   0.254596E+08   0.254596E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.603412E-02
   0.112865E-04   0.191065E+08   0.191065E+08   0.254593E+08   0.254593E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.609476E-02
   0.113999E-04   0.191065E+08   0.191065E+08   0.254590E+08   0.254590E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.615600E-02
   0.115145E-04   0.191065E+08   0.191065E+08   0.254587E+08   0.254586E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.621787E-02
   0.116302E-04   0.191065E+08   0.191065E+08   0.254583E+08   0.254583E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.628036E-02
   0.117471E-04   0.191065E+08   0.191065E+08   0.254580E+08   0.254580E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.634347E-02
   0.118651E-04   0.191065E+08   0.191065E+08   0.254576E+08   0.254576E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.640722E-02
   0.119844E-04   0.191065E+08   0.191065E+08   0.254573E+08   0.254572E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.647161E-02
   0.121048E-04   0.191065E+08   0.191065E+08   0.254569E+08   0.254569E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.653665E-02
   0.122265E-04   0.191065E+08   0.191065E+08   0.254565E+08   0.254565E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.660234E-02
   0.123494E-04   0.191065E+08   0.191065E+08   0.254562E+08   0.254561E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.666869E-02
   0.124735E-04   0.191065E+08   0.191065E+08   0.254558E+08   0.254557E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.673570E-02
   0.125988E-04   0.191065E+08   0.191065E+08   0.254554E+08   0.254553E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.680339E-02
   0.127254E-04   0.191065E+08   0.191065E+08   0.254550E+08   0.254549E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.687176E-02
   0.128533E-04   0.191065E+08   0.191065E+08   0.254546E+08   0.254545E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.694082E-02
   0.129825E-04   0.191065E+08   0.191065E+08   0.254541E+08   0.254541E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.701057E-02
   0.131130E-04   0.191065E+08   0.191065E+08   0.254537E+08   0.254537E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.708102E-02
   0.132448E-04   0.191065E+08   0.191065E+08   0.254533E+08   0.254532E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.715218E-02
   0.133779E-04   0.191065E+08   0.191065E+08   0.254528E+08   0.254528E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.722406E-02
   0.135123E-04   0.191065E+08   0.191065E+08   0.254524E+08   0.254523E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998194E+07   0.998194E+07   0.729665E-02
   0.136481E-04   0.191065E+08   0.191065E+08   0.254519E+08   0.254519E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.736998E-02
   0.137853E-04   0.191065E+08   0.191065E+08   0.254514E+08   0.254514E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.744404E-02
   0.139239E-04   0.191065E+08   0.191065E+08   0.254510E+08   0.254509E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.751885E-02
   0.140638E-04   0.191065E+08   0.191065E+08   0.254505E+08   0.254504E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.759441E-02
   0.142051E-04   0.191065E+08   0.191065E+08   0.254500E+08   0.254499E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.767073E-02
   0.143479E-04   0.191065E+08   0.191065E+08   0.254495E+08   0.254494E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.774781E-02
   0.144921E-04   0.191065E+08   0.191065E+08   0.254489E+08   0.254489E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471105E+00   0.998193E+07   0.998193E+07   0.782567E-02
   0.146377E-04   0.191065E+08   0.191065E+08   0.254484E+08   0.254484E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.790431E-02
   0.147849E-04   0.191065E+08   0.191065E+08   0.254479E+08   0.254478E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.798374E-02
   0.149334E-04   0.191065E+08   0.191065E+08   0.254473E+08   0.254473E+08   0.000000E+00   0.191065E+08   0.191065E+08   0.191137E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.806397E-02
   0.150835E-04   0.191064E+08   0.191064E+08   0.254467E+08   0.254467E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191137E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.814501E-02
   0.152351E-04   0.191064E+08   0.191064E+08   0.254462E+08   0.254461E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191137E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.822686E-02
   0.153882E-04   0.191064E+08   0.191064E+08   0.254456E+08   0.254455E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.830953E-02
   0.155429E-04   0.191064E+08   0.191064E+08   0.254450E+08   0.254449E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.839303E-02
   0.156991E-04   0.191064E+08   0.191064E+08   0.254444E+08   0.254443E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.847738E-02
   0.158569E-04   0.191064E+08   0.191064E+08   0.254437E+08   0.254437E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998193E+07   0.998193E+07   0.856256E-02
   0.160162E-04   0.191064E+08   0.191064E+08   0.254431E+08   0.254430E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.864861E-02
   0.161772E-04   0.191064E+08   0.191064E+08   0.254424E+08   0.254424E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.873552E-02
   0.163398E-04   0.191064E+08   0.191064E+08   0.254418E+08   0.254417E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.882330E-02
   0.165040E-04   0.191064E+08   0.191064E+08   0.254411E+08   0.254410E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.891197E-02
   0.166699E-04   0.191064E+08   0.191064E+08   0.254404E+08   0.254403E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.900152E-02
   0.168374E-04   0.191064E+08   0.191064E+08   0.254397E+08   0.254396E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.909198E-02
   0.170066E-04   0.191064E+08   0.191064E+08   0.254390E+08   0.254389E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.918334E-02
   0.171776E-04   0.191064E+08   0.191064E+08   0.254382E+08   0.254382E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.927562E-02
   0.173502E-04   0.191064E+08   0.191064E+08   0.254375E+08   0.254374E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.936883E-02
   0.175246E-04   0.191064E+08   0.191064E+08   0.254367E+08   0.254367E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.946297E-02
   0.177007E-04   0.191064E+08   0.191064E+08   0.254360E+08   0.254359E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.955807E-02
   0.178786E-04   0.191064E+08   0.191064E+08   0.254352E+08   0.254351E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.965411E-02
   0.180583E-04   0.191064E+08   0.191064E+08   0.254343E+08   0.254343E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.975112E-02
   0.182398E-04   0.191064E+08   0.191064E+08   0.254335E+08   0.254335E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.984911E-02
   0.184231E-04   0.191064E+08   0.191064E+08   0.254327E+08   0.254326E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.994808E-02
   0.186082E-04   0.191064E+08   0.191064E+08   0.254318E+08   0.254317E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471104E+00   0.998192E+07   0.998192E+07   0.100480E-01
   0.187952E-04   0.191064E+08   0.191064E+08   0.254309E+08   0.254309E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.101490E-01
   0.189841E-04   0.191064E+08   0.191064E+08   0.254300E+08   0.254300E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.102510E-01
   0.191749E-04   0.191064E+08   0.191064E+08   0.254291E+08   0.254290E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.103540E-01
   0.193676E-04   0.191064E+08   0.191064E+08   0.254282E+08   0.254281E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.104580E-01
   0.195623E-04   0.191064E+08   0.191064E+08   0.254272E+08   0.254272E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.105631E-01
   0.197589E-04   0.191064E+08   0.191064E+08   0.254263E+08   0.254262E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.106693E-01
   0.199575E-04   0.191064E+08   0.191064E+08   0.254253E+08   0.254252E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.107765E-01
   0.201580E-04   0.191064E+08   0.191064E+08   0.254243E+08   0.254242E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998191E+07   0.998191E+07   0.108848E-01
   0.203606E-04   0.191064E+08   0.191064E+08   0.254232E+08   0.254232E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.109941E-01
   0.205653E-04   0.191064E+08   0.191064E+08   0.254222E+08   0.254221E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.111046E-01
   0.207719E-04   0.191064E+08   0.191064E+08   0.254211E+08   0.254210E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.112162E-01
   0.209807E-04   0.191064E+08   0.191064E+08   0.254200E+08   0.254199E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.113289E-01
   0.211916E-04   0.191064E+08   0.191064E+08   0.254189E+08   0.254188E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.114427E-01
   0.214045E-04   0.191064E+08   0.191064E+08   0.254178E+08   0.254177E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.115577E-01
   0.216197E-04   0.191064E+08   0.191064E+08   0.254166E+08   0.254165E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.116738E-01
   0.218369E-04   0.191064E+08   0.191064E+08   0.254154E+08   0.254153E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471103E+00   0.998190E+07   0.998190E+07   0.117911E-01
   0.220564E-04   0.191064E+08   0.191064E+08   0.254142E+08   0.254141E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998190E+07   0.998190E+07   0.119096E-01
   0.222781E-04   0.191064E+08   0.191064E+08   0.254130E+08   0.254129E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998190E+07   0.998190E+07   0.120293E-01
   0.225020E-04   0.191064E+08   0.191064E+08   0.254117E+08   0.254116E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998190E+07   0.998190E+07   0.121501E-01
   0.227281E-04   0.191064E+08   0.191064E+08   0.254104E+08   0.254103E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.122722E-01
   0.229566E-04   0.191064E+08   0.191064E+08   0.254091E+08   0.254090E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.123955E-01
   0.231873E-04   0.191064E+08   0.191064E+08   0.254078E+08   0.254077E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.125201E-01
   0.234203E-04   0.191064E+08   0.191064E+08   0.254064E+08   0.254063E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.126459E-01
   0.236557E-04   0.191064E+08   0.191064E+08   0.254050E+08   0.254049E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.127729E-01
   0.238934E-04   0.191064E+08   0.191064E+08   0.254036E+08   0.254035E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998189E+07   0.998189E+07   0.129013E-01
   0.241336E-04   0.191064E+08   0.191064E+08   0.254022E+08   0.254020E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998188E+07   0.998188E+07   0.130309E-01
   0.243761E-04   0.191064E+08   0.191064E+08   0.254007E+08   0.254006E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998188E+07   0.998188E+07   0.131618E-01
   0.246211E-04   0.191064E+08   0.191064E+08   0.253992E+08   0.253991E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191136E+08  -0.471102E+00   0.998188E+07   0.998188E+07   0.132941E-01
   0.248685E-04   0.191064E+08   0.191064E+08   0.253976E+08   0.253975E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191135E+08  -0.471101E+00   0.998188E+07   0.998188E+07   0.134276E-01
   0.251185E-04   0.191064E+08   0.191064E+08   0.253961E+08   0.253960E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191135E+08  -0.471101E+00   0.998188E+07   0.998188E+07   0.135625E-01
   0.253709E-04   0.191064E+08   0.191064E+08   0.253945E+08   0.253944E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191135E+08  -0.471101E+00   0.998188E+07   0.998188E+07   0.136988E-01
   0.256259E-04   0.191064E+08   0.191064E+08   0.253928E+08   0.253927E+08   0.000000E+00   0.191064E+08   0.191064E+08   0.191135E+08  -0.471101E+00   0.998188E+07   0.998188E+07   0.138364E-01
   0.258834E-04   0.191063E+08   0.191063E+08   0.253912E+08   0.253911E+08   0.000000E+00   0.191063E+08   0.191063E+08   0.191135E+08  -0.471101E+00   0.998188E+07   0.998188E+07   0.139755E-01
